Filename,Foreground Species,Background Species,Remarks
DeKUWC-1-2016-01-05-10-30-01.mp3,,,
DeKUWC-1-2016-01-05-10-35-02.mp3,,,
DeKUWC-1-2016-01-05-10-40-01.mp3,Yellow-whiskered Greenbul,Grey-backed Camaroptera,Engine noise in the background
DeKUWC-1-2016-01-05-10-45-01.mp3,,,
DeKUWC-1-2016-01-05-10-50-01.mp3,,,
DeKUWC-1-2016-01-05-10-55-01.mp3,,,
DeKUWC-1-2016-01-05-11-00-02.mp3,,,
DeKUWC-1-2016-01-05-11-05-01.mp3,,,
DeKUWC-1-2016-01-05-11-10-01.mp3,Tropical Boubou,Hartlaub's Turaco,
DeKUWC-1-2016-01-05-11-15-01.mp3,,,
DeKUWC-1-2016-01-05-11-20-02.mp3,,,
DeKUWC-1-2016-01-05-11-25-01.mp3,,,
DeKUWC-1-2016-01-05-11-30-01.mp3,,,
DeKUWC-1-2016-01-05-11-35-01.mp3,,,
DeKUWC-1-2016-01-05-11-40-01.mp3,,,
DeKUWC-1-2016-01-05-11-45-02.mp3,,,
DeKUWC-1-2016-01-05-11-50-01.mp3,,,
DeKUWC-1-2016-01-05-11-55-01.mp3,,,
DeKUWC-1-2016-01-05-12-00-01.mp3,,,
DeKUWC-1-2016-01-05-12-05-01.mp3,,,
DeKUWC-1-2016-01-05-12-10-02.mp3,,,
DeKUWC-1-2016-01-05-12-15-01.mp3,,,
DeKUWC-1-2016-01-05-12-20-01.mp3,,,
DeKUWC-1-2016-01-05-12-25-01.mp3,,,
DeKUWC-1-2016-01-05-12-30-01.mp3,,,
DeKUWC-1-2016-01-05-12-35-01.mp3,Grey-backed Camaroptera,,Sound of engine; crow and insect in the background
DeKUWC-1-2016-01-05-12-40-01.mp3,Grey-backed Camaroptera,Tambourine Dove;Hartlaub's Turaco,Engine noise in the background
DeKUWC-1-2016-01-05-12-45-01.mp3,,Grey-backed Camaroptera;Olive Thrush;Tambourine Dove,Insect in the foreground
DeKUWC-1-2016-01-05-12-50-01.mp3,,,
DeKUWC-1-2016-01-05-12-55-01.mp3,,,
DeKUWC-1-2016-01-05-13-00-01.mp3,,,
DeKUWC-1-2016-01-05-13-05-01.mp3,,,
DeKUWC-1-2016-01-05-13-10-01.mp3,,,
DeKUWC-1-2016-01-05-13-15-01.mp3,,,
DeKUWC-1-2016-01-05-13-20-01.mp3,Common Bulbul,Yellow-rumped Tinkerbird,
DeKUWC-1-2016-01-05-13-25-01.mp3,,,
DeKUWC-1-2016-01-05-13-30-01.mp3,,,
DeKUWC-1-2016-01-05-13-35-02.mp3,,,
DeKUWC-1-2016-01-05-13-40-01.mp3,Grey-backed Camaroptera,Tambourine Dove,
DeKUWC-1-2016-01-05-13-45-01.mp3,,,
DeKUWC-1-2016-01-05-13-50-01.mp3,,,
DeKUWC-1-2016-01-05-13-55-01.mp3,,,
DeKUWC-1-2016-01-05-14-00-02.mp3,,,
DeKUWC-1-2016-01-05-14-05-01.mp3,,,
DeKUWC-1-2016-01-05-14-10-01.mp3,,,
DeKUWC-1-2016-01-05-14-15-01.mp3,,,
DeKUWC-1-2016-01-05-14-20-02.mp3,,,
DeKUWC-1-2016-01-05-14-25-01.mp3,,,
DeKUWC-1-2016-01-05-14-30-01.mp3,,,
DeKUWC-1-2016-01-05-14-35-01.mp3,,Grey-backed Camaroptera;Tambourine Dove;Common Bulbul;Black-backed Puffback,
DeKUWC-1-2016-01-05-14-40-01.mp3,,,
DeKUWC-1-2016-01-05-14-45-02.mp3,,,
DeKUWC-1-2016-01-05-14-50-01.mp3,,,
DeKUWC-1-2016-01-05-14-55-01.mp3,,,
DeKUWC-1-2016-01-05-15-00-01.mp3,,,
DeKUWC-1-2016-01-05-15-05-01.mp3,,,
DeKUWC-1-2016-01-05-15-10-02.mp3,,,
DeKUWC-1-2016-01-05-15-15-01.mp3,,,
DeKUWC-1-2016-01-05-15-20-01.mp3,,,
DeKUWC-1-2016-01-05-15-25-01.mp3,,,
DeKUWC-1-2016-01-05-15-30-02.mp3,,,
DeKUWC-1-2016-01-05-15-35-01.mp3,,,
DeKUWC-1-2016-01-05-15-40-01.mp3,,,
DeKUWC-1-2016-01-05-15-45-01.mp3,,,
DeKUWC-1-2016-01-05-15-50-01.mp3,,,
